trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.2, 'e': 0.955}",20,0,-108.2480173279894,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
46,False,"{'a': 0.2, 'e': 0.954}",20,0,-40.021137477715754,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
47,False,"{'a': 0.2, 'e': 0.953}",20,0,-85.60574697600084,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
48,False,"{'a': 0.2, 'e': 0.952}",20,0,-79.44967329760512,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.2, 'e': 0.951}",25,0,-238.6430418900219,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
50,False,"{'a': 0.2, 'e': 0.95}",25,15,-75.37412055039421,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 1}",1
51,False,"{'a': 0.2, 'e': 0.949}",20,0,-5.521855475117171,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.2, 'e': 0.948}",20,0,-104.93680407570858,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.2, 'e': 0.947}",20,0,-64.64309934505134,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.946}",20,1,-140.66739274341404,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 1}",1
55,False,"{'a': 0.2, 'e': 0.945}",30,0,-149.9217816177776,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
56,False,"{'a': 0.2, 'e': 0.944}",35,0,-291.9285362723413,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 6}",0
57,False,"{'a': 0.2, 'e': 0.943}",25,0,-42.34239796231296,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.2, 'e': 0.942}",20,0,-7.552487046413609,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.941}",20,0,-48.41397607633739,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
60,False,"{'a': 0.2, 'e': 0.94}",30,0,-147.90736095885993,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
61,False,"{'a': 0.2, 'e': 0.939}",25,0,-85.48274784938872,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
62,False,"{'a': 0.2, 'e': 0.938}",20,0,-55.49709856741369,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
63,False,"{'a': 0.2, 'e': 0.9369999999999999}",25,0,-96.14281027745473,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
